date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:32	506197/506197	---MCZ	200	added ('OK')	text/html	etag:W/%227b955-yzHKnmZxgkmT3VxjHDGzl2IuGjg%22	https://www.mercadolivre.com.br/apple-iphone-13-pro-128-gb-dourado/p/MLB18494249?matt_tool=35422514&matt_word=&matt_source=google&matt_campaign_id=14303413643&matt_ad_group_id=125984291437&matt_match_type=&matt_network=g&matt_device=c&matt_creative=539354956512&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=156066097&matt_product_id=MLB18494249-product&matt_product_partition_id=1404594563959&matt_target_id=aud-891043985940:pla-1404594563959&gclid=CjwKCAiA4KaRBhBdEiwAZi1zzmpCymZtfi22EHesnlh1zZfIW8Y_s8mWGBHHiUygwXvUt-j-ZzgteBoCZ9YQAvD_BwE	C:/Meus%20Sites/mercado/www.mercadolivre.com.br/apple-iphone-13-pro-128-gb-dourado/p/MLB184942495a47.html	(from )
14:47:33	430/430	---MCZ	200	added ('OK')	text/plain	date:Fri,%2011%20Mar%202022%2017:47:33%20GMT	https://www.mercadolivre.com.br/robots.txt		(from )
14:47:33	4108/4108	---M--	200	added ('OK')	image/png	etag:%22100c-rVezzXAFo6LjneZSmvVFZ4BCSvY%22	https://http2.mlstatic.com/frontend-assets/ui-navigation/5.18.9/mercadolibre/180x180.png	C:/Meus%20Sites/mercado/http2.mlstatic.com/frontend-assets/ui-navigation/5.18.9/mercadolibre/180x180.png	(from https://www.mercadolivre.com.br/apple-iphone-13-pro-128-gb-dourado/p/MLB18494249?matt_tool=35422514&matt_word=&matt_source=google&matt_campaign_id=14303413643&matt_ad_group_id=125984291437&matt_match_type=&matt_network=g&matt_device=c&matt_creative=539354956512&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=156066097&matt_product_id=MLB18494249-product&matt_product_partition_id=1404594563959&matt_target_id=aud-891043985940:pla-1404594563959&gclid=CjwKCAiA4KaRBhBdEiwAZi1zzmpCymZtfi22EHesnlh1zZfIW8Y_s8mWGBHHiUygwXvUt-j-ZzgteBoCZ9YQAvD_BwE)
14:47:33	37975/37975	---M--	200	added ('OK')	image/jpeg	etag:%22163518270%22	https://http2.mlstatic.com/D_NQ_NP_669080-MLA47781235818_102021-O.jpg	C:/Meus%20Sites/mercado/http2.mlstatic.com/D_NQ_NP_669080-MLA47781235818_102021-O.jpg	(from https://www.mercadolivre.com.br/apple-iphone-13-pro-128-gb-dourado/p/MLB18494249?matt_tool=35422514&matt_word=&matt_source=google&matt_campaign_id=14303413643&matt_ad_group_id=125984291437&matt_match_type=&matt_network=g&matt_device=c&matt_creative=539354956512&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=156066097&matt_product_id=MLB18494249-product&matt_product_partition_id=1404594563959&matt_target_id=aud-891043985940:pla-1404594563959&gclid=CjwKCAiA4KaRBhBdEiwAZi1zzmpCymZtfi22EHesnlh1zZfIW8Y_s8mWGBHHiUygwXvUt-j-ZzgteBoCZ9YQAvD_BwE)
14:47:34	399232/399232	---MCZ	200	added ('OK')	text/html	etag:W/%2261780-0Iz5CBsRBk/EJm7iaJPD0aV3WOw%22	https://www.mercadolivre.com.br/apple-iphone-13-pro-128-gb-dourado/p/MLB18494249	C:/Meus%20Sites/mercado/www.mercadolivre.com.br/apple-iphone-13-pro-128-gb-dourado/p/MLB18494249.html	(from https://www.mercadolivre.com.br/apple-iphone-13-pro-128-gb-dourado/p/MLB18494249?matt_tool=35422514&matt_word=&matt_source=google&matt_campaign_id=14303413643&matt_ad_group_id=125984291437&matt_match_type=&matt_network=g&matt_device=c&matt_creative=539354956512&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=156066097&matt_product_id=MLB18494249-product&matt_product_partition_id=1404594563959&matt_target_id=aud-891043985940:pla-1404594563959&gclid=CjwKCAiA4KaRBhBdEiwAZi1zzmpCymZtfi22EHesnlh1zZfIW8Y_s8mWGBHHiUygwXvUt-j-ZzgteBoCZ9YQAvD_BwE)
14:47:34	442817/442817	---M-Z	200	added ('OK')	text/css	etag:W/%2220a8098f1d8c917ae8f92048c8a80d03%22	https://http2.mlstatic.com/frontend-assets/vpp-frontend/pdp.desktop.626d46da.css	C:/Meus%20Sites/mercado/http2.mlstatic.com/frontend-assets/vpp-frontend/pdp.desktop.626d46da.css	(from https://www.mercadolivre.com.br/apple-iphone-13-pro-128-gb-dourado/p/MLB18494249?matt_tool=35422514&matt_word=&matt_source=google&matt_campaign_id=14303413643&matt_ad_group_id=125984291437&matt_match_type=&matt_network=g&matt_device=c&matt_creative=539354956512&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=156066097&matt_product_id=MLB18494249-product&matt_product_partition_id=1404594563959&matt_target_id=aud-891043985940:pla-1404594563959&gclid=CjwKCAiA4KaRBhBdEiwAZi1zzmpCymZtfi22EHesnlh1zZfIW8Y_s8mWGBHHiUygwXvUt-j-ZzgteBoCZ9YQAvD_BwE)
14:47:35	69541/69541	---M-Z	200	added ('OK')	application/javascript	etag:1ceeb1937519d626fda4ce5610f2564d	https://http2.mlstatic.com/analytics/ga/mlb-ml-analytics.min.js	C:/Meus%20Sites/mercado/http2.mlstatic.com/analytics/ga/mlb-ml-analytics.min.js	(from https://www.mercadolivre.com.br/apple-iphone-13-pro-128-gb-dourado/p/MLB18494249?matt_tool=35422514&matt_word=&matt_source=google&matt_campaign_id=14303413643&matt_ad_group_id=125984291437&matt_match_type=&matt_network=g&matt_device=c&matt_creative=539354956512&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=156066097&matt_product_id=MLB18494249-product&matt_product_partition_id=1404594563959&matt_target_id=aud-891043985940:pla-1404594563959&gclid=CjwKCAiA4KaRBhBdEiwAZi1zzmpCymZtfi22EHesnlh1zZfIW8Y_s8mWGBHHiUygwXvUt-j-ZzgteBoCZ9YQAvD_BwE)
14:47:35	12590/12590	---M--	200	added ('OK')	image/jpeg	etag:%221182058962%22	https://http2.mlstatic.com/D_NQ_628973-MLA49296401121_032022-OO.jpg	C:/Meus%20Sites/mercado/http2.mlstatic.com/D_NQ_628973-MLA49296401121_032022-OO.jpg	(from https://www.mercadolivre.com.br/apple-iphone-13-pro-128-gb-dourado/p/MLB18494249?matt_tool=35422514&matt_word=&matt_source=google&matt_campaign_id=14303413643&matt_ad_group_id=125984291437&matt_match_type=&matt_network=g&matt_device=c&matt_creative=539354956512&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=156066097&matt_product_id=MLB18494249-product&matt_product_partition_id=1404594563959&matt_target_id=aud-891043985940:pla-1404594563959&gclid=CjwKCAiA4KaRBhBdEiwAZi1zzmpCymZtfi22EHesnlh1zZfIW8Y_s8mWGBHHiUygwXvUt-j-ZzgteBoCZ9YQAvD_BwE)
14:47:36	399647/399647	---MCZ	200	added ('OK')	text/html	etag:W/%226191f-FCylKy9K+PuV9wK2xIvgBbnnj3E%22	https://www.mercadolivre.com.br/apple-iphone-13-pro-128-gb-dourado/p/MLB18494249?product_trigger_id=MLB18494249	C:/Meus%20Sites/mercado/www.mercadolivre.com.br/apple-iphone-13-pro-128-gb-dourado/p/MLB184942498a32.html	(from https://www.mercadolivre.com.br/apple-iphone-13-pro-128-gb-dourado/p/MLB18494249?matt_tool=35422514&matt_word=&matt_source=google&matt_campaign_id=14303413643&matt_ad_group_id=125984291437&matt_match_type=&matt_network=g&matt_device=c&matt_creative=539354956512&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=156066097&matt_product_id=MLB18494249-product&matt_product_partition_id=1404594563959&matt_target_id=aud-891043985940:pla-1404594563959&gclid=CjwKCAiA4KaRBhBdEiwAZi1zzmpCymZtfi22EHesnlh1zZfIW8Y_s8mWGBHHiUygwXvUt-j-ZzgteBoCZ9YQAvD_BwE)
14:47:36	192895/192895	---MCZ	200	added ('OK')	text/html	etag:W/%222f17f-uw1slUTavnbF9Bfy5+MzaifGdas%22	https://www.mercadolivre.com.br/apple-iphone-13-pro-128-gb-dourado/p/MLB18494249/s	C:/Meus%20Sites/mercado/www.mercadolivre.com.br/apple-iphone-13-pro-128-gb-dourado/p/MLB18494249/s.html	(from https://www.mercadolivre.com.br/apple-iphone-13-pro-128-gb-dourado/p/MLB18494249?matt_tool=35422514&matt_word=&matt_source=google&matt_campaign_id=14303413643&matt_ad_group_id=125984291437&matt_match_type=&matt_network=g&matt_device=c&matt_creative=539354956512&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=156066097&matt_product_id=MLB18494249-product&matt_product_partition_id=1404594563959&matt_target_id=aud-891043985940:pla-1404594563959&gclid=CjwKCAiA4KaRBhBdEiwAZi1zzmpCymZtfi22EHesnlh1zZfIW8Y_s8mWGBHHiUygwXvUt-j-ZzgteBoCZ9YQAvD_BwE)
